country,site,latitude,longitude,habitat_type,wood_used,wood_origin,N_pc,C_pc,P_pc,Mg_pc,Ca_pc,K_pc,Al_pc,Mn_pc,plot,tag,treatment,deployment_date,harvest_date,date_diff,initial_wt,final_wt,k_value,termite_discovery,fungal_damage,termite_damage
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS01,01CA,C,10/11/2017,2018-11-15T00:00:00Z,400,128.253,124.455,0.027454786,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS01,01CB,C,10/11/2017,2020-01-23T00:00:00Z,834,118.588,73.688,0.208384849,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS01,01TA,T,10/11/2017,2018-11-15T00:00:00Z,400,139.887,102.724,0.281966861,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS01,01TB,T,10/11/2017,2020-01-23T00:00:00Z,834,152.744,109.133,0.147238349,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS02,02CA,C,10/11/2017,2018-11-15T00:00:00Z,400,163.892,155.943,0.04539954,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS02,02CB,C,10/11/2017,2020-01-23T00:00:00Z,834,157.271,98.918,0.203066318,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS02,02TA,T,10/11/2017,2018-11-15T00:00:00Z,400,152.782,147.389,0.032812972,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS02,02TB,T,10/11/2017,2020-01-23T00:00:00Z,834,131.166,92.546,0.152734935,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS03,03CA,C,10/11/2017,2018-11-15T00:00:00Z,400,135.37,121.363,0.099733078,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS03,03CB,C,10/11/2017,2020-01-23T00:00:00Z,834,142.913,98.918,0.161138829,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS03,03TA,T,10/11/2017,2018-11-15T00:00:00Z,400,150.475,148.092,0.014577222,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS03,03TB,T,10/11/2017,2020-01-23T00:00:00Z,834,164.067,136.93,0.079183422,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS04,04CA,C,10/11/2017,2018-11-15T00:00:00Z,400,142.169,130.578,0.077658633,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS04,04CB,C,10/11/2017,2020-01-23T00:00:00Z,834,160.061,132.391,0.083120677,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS04,04TA,T,10/11/2017,2018-11-15T00:00:00Z,400,138.065,130.433,0.051929002,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS04,04TB,T,10/11/2017,2020-01-23T00:00:00Z,834,143.838,103.13,0.14570454,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS05,05CA,C,10/11/2017,2018-11-15T00:00:00Z,400,138.499,114.442,0.174222039,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS05,05CB,C,10/11/2017,2020-01-23T00:00:00Z,834,145.082,76.843,0.278335026,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS05,05TA,T,10/11/2017,2018-11-15T00:00:00Z,400,137.824,128.621,0.063105168,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS06,06CA,C,10/11/2017,2018-11-15T00:00:00Z,400,145.002,134.906,0.065903601,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS06,06CB,C,10/11/2017,2020-01-23T00:00:00Z,834,139.689,101.216,0.141090932,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS06,06TA,T,10/11/2017,2018-11-15T00:00:00Z,400,177.018,174.551,0.012814792,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS06,06TB,T,10/11/2017,2020-01-23T00:00:00Z,834,145.165,78.275,0.270497458,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS07,07CA,C,10/11/2017,2018-11-15T00:00:00Z,400,138.289,130.031,0.056217914,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS07,07TA,T,10/11/2017,2018-11-15T00:00:00Z,400,134.761,126.445,0.058159221,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS07,07TB,T,10/11/2017,2020-01-23T00:00:00Z,834,136.633,48.789,0.451000158,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS08,08CA,C,10/11/2017,2018-11-15T00:00:00Z,400,130.887,128.048,0.02002478,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS08,08CB,C,10/11/2017,2020-01-23T00:00:00Z,834,135.142,57.804,0.371935551,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS08,08TA,T,10/11/2017,2018-11-15T00:00:00Z,400,128.781,93.379,0.29352004,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS08,08TB,T,10/11/2017,2020-01-23T00:00:00Z,834,147.16,130.772,0.05170556,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS09,09CA,C,10/11/2017,2018-11-15T00:00:00Z,400,164.159,161.704,0.013760202,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS09,09CB,C,10/11/2017,2020-01-23T00:00:00Z,834,134.137,50.088,0.431419743,0,NA,NA
Argentina,EntreRios,-32.771,-58.4512,Woody savannah,Pinus_radiata,Argentina,0.250763075,46.55399619,0.007370425,0.109125231,0.263471559,0.153329514,0.006372809,1.05E-04,BS09,09TA,T,10/11/2017,2018-11-15T00:00:00Z,400,139.732,123.822,0.110381095,0,NA,NA
